Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes,tag.pulled,problem.tag,,
2022,5,3697,16,G,3,20,2,23,SOS,2017,one of the umbel is dead,,,,
2022,5,3001,16,I,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,5,3811,16,J,2,13,1,27,3,2017,,,,,
2022,5,3180,17,B,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,5,3342,17,B,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,5,3106,17,E,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,5,3679,17,F,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,5,3073,17,G,2,12.5,0,NA,NA,2016,,,,,
2022,5,3817,17,H,1,21,0,NA,NA,2017,,,,,
2022,5,3888,17,I,1,12,1,21,3.5,2017,Yes plant in 2022,,,,
2022,5,3474,18,A,4,20,0,NA,NA,2018,,,,,
2022,5,3685,18,B,5,19,3,30,SOS,2016,,,,,
2022,5,3180,18,C,4,14,0,NA,NA,2016,Duplicate in 17B. Could only find this tag,,,,
2022,5,3334,18,C,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,5,3135,18,D,4,11.5,3,28,SOS,2016,,,,,
2022,5,3178,18,E,5,15,2,26,SOS,2016,,,,,
2022,5,3869,18,E,2,15,1,22,4,2016,,,,,
2022,5,3473,18,G,5,16,3,32,SOS,2018,,,,,
2022,5,3713,19,F,1,15,0,NA,NA,2016,,,,,
2022,5,5042,19,G,2,14.5,1,19,3.5,2021,,,,,
2022,5,3663,19,I,4,15.5,2,25,SOS,2016,,,,,
2022,6,3070,4,G,6,22,3,64,SOS,2016,,,,,
2022,6,3008,4,J,2,27,1,51,7,2016,,,,,
2022,6,3179,5,E,5,16,3,68,SOS,2017,pulled replacement tag from 2021 (3748) - didn’t have its own row,,,,
2022,6,3790,5,I,0,NA,NA,NA,NA,2020,NP,,,,
2022,6,3916,7,C,0,NA,NA,NA,NA,2016,NP. 3918 = correct tag,,,,
2022,6,3400,8,E,2,19.5,1,48,5.5,2017,,,,,
2022,6,3048,8,J,1,20,0,NA,NA,2021,outside plot,,,,
2022,6,3791,9,J,0,NA,NA,NA,NA,2020,NP,,,,
2022,6,3518,10,I,5,14.5,3,52,SOS,2017,,,,,
2022,6,3319,11,A,7,16.5,5,55,SOS,2017,"plant accidentally pulled, won't make seeds",,,,
2022,6,3753,11,A,3,28,0,NA,NA,2021,,,,,
2022,6,3455,11,D,0,NA,NA,NA,NA,2018,NP. Tag pulled,1,,,
2022,6,3601,12,B,NA,NA,NA,NA,NA,2017,NPNT,,,,
2022,6,3360,12,C,1,23.5,2,66,SOS,2016,,,,,
2022,6,3825,12,C,0,NA,NA,NA,NA,2016,NPNT. Tag pulled,1,,,
2022,6,3345,12,D,8,19.5,5,47,SOS,2016,,,,,
